#Coefficents for differents frequencies (Table7 - Atkinson and Boore, 2006)
         f(Hz)        T(sec)            c1            c2            c3            c4            c5            c6            c7            c8            c9           c10
          0.15           0.5           5.5
          0.15        0.3613         5.361
          0.15         0.308         5.308
          0.15         0.188         5.188
          0.15       0.08396         5.084
          0.15       0.02969          5.03
          0.15             0             5
          0.15             0             5
          0.15            -0             5
          0.15        0.2534         5.253
          0.15        0.5063         5.502
          0.15         1.499         5.755
          0.15         2.508         6.002
          0.15          3.22         6.224
          0.15         3.663         6.375
          0.15             4           6.5
          0.15         4.138         6.663
          0.15         4.253         6.822
          0.15         4.346          6.96
          0.15         4.432         7.093
          0.15           4.5           7.2
          0.15         4.642         7.408
          0.15         4.803         7.646
          0.15             5             8
          0.15          5.25          8.12
          0.15         5.458         8.228
          0.15         5.622         8.309
          0.15          5.75          8.37
          0.15         5.889         8.442
          0.15             6           8.5
